song_id,title,artist,tempo
12,OOMM (Out of My Mind),3YE,150.063
13,Crazy,4Minute,176.019
14,Hate,4Minute,149.883
25,Savage,aespa,146.959
30,Daechwita,Agust D,144.995
38,Eung Eung,Apink,144.867
48,Oh! my mistake,APRIL,145.047
49,All Night,ASTRO,150.062
50,Always You,ASTRO,149.979
55,"HALA HALA (Hearts Awakened, Live Alive)",ATEEZ,159.904
57,INCEPTION,ATEEZ,149.941
58,Pirate King,ATEEZ,173.004
59,Say My Name,ATEEZ,152.968
60,THANXX,ATEEZ,164.847
85,IF YOU,BIGBANG,141.822
86,LAST DANCE,BIGBANG,143.858
100,Ice Cream (with Selena Gomez),BLACKPINK,159.972
103,Love To Hate Me,BLACKPINK,162.225
106,Pretty Savage,BLACKPINK,152.045
107,Really,BLACKPINK,142.019
111,You Never Know,BLACKPINK,144.144
112,HER,Block B,162.017
125,Black Swan,BTS,147.023
127,Boy in Luv,BTS,166.247
133,Dionysus,BTS,176.084
139,HOME,BTS,142.991
140,I Need U,BTS,158.043
143,MIC Drop,BTS,169.959
144,Mikrokosmos,BTS,174.039
151,Silver Spoon,BTS,166.897
159,Bicycle,CHUNG HA,145.97
169,Nun Nu Nan Na,cignature,164.106
170,What You Wanted,CIX,145.921
171,Hello Bitches,CL,145.074
173,HELICOPTER,CLC,155.048
174,Hobgoblin,CLC,169.91
175,ME,CLC,146.943
177,Hey You,CNBLUE,200.157
182,I Need Somebody,DAY6,184.197
183,Shoot Me,DAY6,167.933
186,Break The Wall,Dreamcatcher,160.014
188,Odd Eye,Dreamcatcher,160.061
189,PIRI,Dreamcatcher,170.043
195,Let Me In (20 CUBE),ENHYPEN,171.853
202,LA DI DA,EVERGLOW,163.845
210,Ko Ko Bop,EXO,145.983
214,Monster,EXO,150
216,Ooh La La La,EXO,165.15
232,LOVE BOMB,fromis_9,154.045
242,Sunrise,GFRIEND,173.917
257,NOT BY THE MOON,GOT7,151.813
266,Dally,Hyolyn,143.741
268,Bubble Pop!,HyunA,146.005
273,Red,HyunA,163.787
277,Whatta Man (Good man),I.O.I,150.065
294,BBIBBI,IU,143.894
316,BIRTHDAY,JEON SOMI,180.055
325,POP/STARS,K/DA,170.036
326,THE BADDEST,K/DA,149.981
345,HOLO,LeeHi,179.914
351,LALISA,LISA,150.076
371,My star,MAMAMOO,147.951
375,Taller than You,MAMAMOO,200.316
383,ICE AGE,MCND,142.897
386,OMG,MIXNINE,149.917
391,Beautiful,Monsta X,154.002
392,DRAMARAMA,Monsta X,186.154
397,HERO,Monsta X,146.082
399,MOHAE,Monsta X,142.034
405,Shoot Out,Monsta X,165.133
420,Kick It,NCT 127,167.031
423,Simon Says,NCT 127,151.977
427,Don't Need Your Love,NCT DREAM,160.145
428,Hello Future,NCT DREAM,170.006
430,Ridin',NCT DREAM,150.009
436,Love Paint (every afternoon),NU'EST,147.024
437,HELP ME,NU'EST W,151.91
438,WHERE YOU AT,NU'EST W,142.76
445,L.O.V.E,PARK JI HOON,154.036
447,Dr. BeBe,PENTAGON,142.079
448,Naughty boy,PENTAGON,160.034
451,Shine,PENTAGON,150.013
456,IAM,PRODUCE 48,147.935
467,Bad Boy,Red Velvet,149.985
468,Dumb Dumb,Red Velvet,145.99
469,Ice Cream Cake,Red Velvet,172.023
471,Power Up,Red Velvet,159.998
480,JUICY,Rocket Punch,171.996
485,A-TEEN,SEVENTEEN,149.962
493,Left & Right,SEVENTEEN,149.994
503,RPM,SF9,169.962
515,I Like That,SISTAR,154.882
520,Love Like This,SS501,155.891
522,SO BAD,STAYC,168.978
523,STEREOTYPE,STAYC,148.298
525,Double Knot,Stray Kids,146.925
526,Get Cool,Stray Kids,151.955
527,God's Menu,Stray Kids,157.052
530,My Pace,Stray Kids,155.12
548,Tiger Inside,SuperM,170.21
550,WINE (Feat.Changmo) (Prod. SUGA),SURAN,145.87
553,RINGA LINGA,TAEYANG,141.018
587,I CAN'T STOP ME,TWICE,150.084
590,What is Love,TWICE,169.966
594,Dream Glow (BTS World Original Soundtrack) [Pt. 1],Various Artists,141.948
602,Howling,VICTON,153.58
612,After School,Weeekly,164.007
613,Tag Me,Weeekly,160.007
614,TWILIGHT,WEi,156.11
619,Picky Picky,Weki Meki,150.001
622,Hold,WINNER,155.93
