song_id,title,artist,tempo
1,Crazy,4Minute,88
2,Under Cover,A.C.E,85.981
3,724148,Agust D,90
4,Black Mamba,aespa,90.069
5,First Love,After School,89.99
6,On Rainy Days,Beast,90.022
7,FXXK IT,BIGBANG,90.026
8,LOSER,BIGBANG,89.846
9,ZUTTER (GD & T.O.P),BIGBANG,90
10,WE LIKE 2 PARTY,BIGBANG,89.952
11,STAY,BLACKPINK,87.959
12,Dope,BTS,77.058
13,I Need U,BTS,78
14,Intro: Never Mind,BTS,80
15,Jamais Vu,BTS,81
16,Intro: What Am I to You,BTS,82
17,Film out,BTS,82
18,We are Bulletproof: the Eternal ,BTS,84
19,Lost,BTS,85
20,Intro: Persona,BTS,87
21,Serendipity,BTS,87
22,Whalien 52,BTS,90
23,Rain,BTS,90
24,Her,BTS,89
25,Epilogue: Young Forever,BTS,88
26,FAKE LOVE,BTS,77.501
27,Hands Up,Cherry Bullet,89.974
28,Break all the Rules,CRAVITY,78.028
29,Flame,CRAVITY,81.59
30,Red Sun,Dreamcatcher,79.454
31,déjà vu,Dreamcatcher,90
32,SAHARA,Dreamcatcher,89.924
33,Just A Little Bit,ENHYPEN,85
34,Heart Attack,EXO,81
35,Growl,EXO,90
36,Trouble,EXO,76.022
37,"Untitled, 2014",G-Dragon,80
38,ECLIPSE,GOT7,79.889
39,Sorry Not Sorry,ITZY,79
40,NOBODY LIKE YOU,ITZY,90
41,Mirror,ITZY,80
42,GOODBYE ROAD,iKON,79
43,Paradise,Hyolyn,89
44,DRIP,HINAPIA,89.994
45,Blue Side: Outro,j-hope,80
46,RUMOR,KARD,88.999
47,Kiss On the Lips,Melody Day,90
48,Party Time,Monsta X,81.509
49,Stuck,Monsta X,75.025
50,Cherry Bomb,NCT 127,78.027
51,LIMITLESS,NCT 127,78.216
52,uhgood,RM,86
53,Don't Call Me,SHINee,82.026
54,Hellevator,Stray Kids,78.169
55,MMM,TREASURE,80.007
56,Shangri-La,VIXX,77.565
57,OOPSY,Weki Meki,75.01
58,RUi,WEi,84
59,BERMUDA TRIANGLE,ZICO,89.013
