song_id,title,artist,tempo
1,DUMDi DUMDi,(G)I-DLE,123.047
8,Spotlight,1THE9,136.014
9,I Am The Best,2NE1,127.997
15,Heart To Heart,4Minute,129.961
16,Hot Issue,4Minute,128.008
17,Mirror Mirror,4Minute,128.067
18,Muzik,4Minute,126.042
19,Volume Up,4Minute,130.045
20,Whatcha Doin' Today,4Minute,133.041
27,Because of you,After School,124.884
28,DIVA,After School,129.98
32,Going Dumb (with Stray Kids),Alesso,121.978
33,Bomb - Korean Version,AleXa,132.017
35,Say My Name,ANS,125.071
39,HUSH,Apink,127.969
40,I don't Know,Apink,132.052
41,I'm so sick,Apink,123.752
56,Illusion,ATEEZ,140.104
61,Treasure,ATEEZ,133.966
64,WONDERLAND,ATEEZ,129.979
67,Tried to walk,B1A4,132.926
69,Bad Girl,Beast,125.057
70,Beautiful,Beast,136.984
71,Beautiful Night,Beast,123.03
72,Breath,Beast,128.008
73,Fiction,Beast,128.041
75,Mystery,Beast,130.024
78,Shock,Beast,134.962
79,BAE BAE,BIGBANG,139.954
80,BANG BANG BANG,BIGBANG,135.011
81,Blue,BIGBANG,124.985
82,Fantastic Baby,BIGBANG,130.012
84,Haru Haru,BIGBANG,126.001
87,LET'S NOT FALL IN LOVE,BIGBANG,124.984
89,Monster,BIGBANG,128.003
90,My Heaven,BIGBANG,128.019
91,SOBER,BIGBANG,129.948
93,As If It's Your Last,BLACKPINK,125.034
94,BOOMBAYAH,BLACKPINK,124.969
96,DDU-DU DDU-DU,BLACKPINK,139.931
97,Don't Know What To Do,BLACKPINK,129.815
99,How You Like That,BLACKPINK,130.013
101,Kill This Love,BLACKPINK,131.98
104,Lovesick Girls,BLACKPINK,127.97
114,Travel,BOL4,128.05
116,Rollin',Brave Girls,124.948
118,Abracadabra,Brown Eyed Girls,128.022
121,Airplane pt.2,BTS,139.979
124,Best Of Me,BTS,121.96
135,DNA,BTS,129.819
141,IDOL,BTS,126.035
147,Outro: Tear,BTS,140.015
148,Permission to Dance,BTS,124.925
149,Run,BTS,132.943
150,Save Me,BTS,139.948
152,So What,BTS,129.947
154,Stay,BTS,125.904
155,Stay Gold,BTS,129.017
164,Roller Coaster,CHUNG HA,130.001
166,Stay Tonight,CHUNG HA,121.025
168,ASSA,cignature,124.054
187,Can't get you out of my mind,Dreamcatcher,125.999
192,Scream,Dreamcatcher,137.909
199,Adios,EVERGLOW,128.187
200,Bon Bon Chocolat,EVERGLOW,139.927
209,Don't fight the feeling,EXO,128.007
215,Obsession,EXO,129.992
217,Power,EXO,127.958
219,The Eve,EXO,135.104
226,4 Walls,f(x),125.972
227,Electric Shock,f(x),125.029
228,Hot Summer,f(x),123.019
231,Feel Good (SECRET CODE),fromis_9,125
234,Bloom,Gain,123.975
236,High High,GD&TOP,129.999
237,Crayon,G-DRAGON,132.017
243,Expectation,Girl's Day,126.994
251,Without You,Golden Child,121.025
253,Fly,GOT7,132.974
255,Lullaby,GOT7,129.993
263,Maria,Hwa Sa,128.909
264,TWIT,Hwa Sa,136.067
278,Dive,iKON,124.054
279,KILLING ME,iKON,127.986
281,Why Why Why,iKON,123.997
284,BE MINE,INFINITE,129.997
285,Man In Love,INFINITE,121.986
286,DALLA DALLA,ITZY,124.998
287,ICY,ITZY,124.979
288,In the morning,ITZY,140.057
292,WANNABE,ITZY,122.035
299,Good day,IU,128.027
300,Into the I-LAND,IU,121.883
303,Twenty-three,IU,122.952
304,YOU&I,IU,134.004
305,D-D-DANCE,IZ*ONE,124.925
306,FIESTA,IZ*ONE,122.999
