song_id,title,artist,tempo
2,HANN (Alone),(G)I-DLE,104.971
3,LATATA,(G)I-DLE,98.1
4,LION,(G)I-DLE,109.989
5,Oh my god,(G)I-DLE,109.97
6,Senorita,(G)I-DLE,120.021
7,Uh-Oh,(G)I-DLE,92.037
10,Lollipop,2NE1,119.964
11,10 Out of 10,2PM,108.977
21,What's your name?,4Minute,115.041
24,Next Level,aespa,109.036
26,bang,After School,119.948
31,NAKKA (with IU),AKMU,100.923
34,Do Or Die,AleXa,119.984
36,BUBIBU,Apink,113.008
37,Dumhdurum,Apink,114.902
42,LUV,Apink,103.978
43,Mr. Chu,Apink,120.005
44,My My,Apink,107.988
45,NoNoNo,Apink,105.996
46,Remember,Apink,120.007
47,U You,Apink,96.953
51,Crazy Sexy Cool,ASTRO,104.705
52,Knock,ASTRO,97.063
53,With You,ASTRO,104.054
54,Answer,ATEEZ,97.968
62,Utopia,ATEEZ,116.029
63,Wave,ATEEZ,99.968
65,HONEYMOON,B.A.P,116.968
66,POWER,B.A.P,93.976
68,12:30,Beast,99.909
74,Good Luck,Beast,100.043
77,Shadow,Beast,114.915
95,Crazy Over You,BLACKPINK,115.002
98,Forever Young,BLACKPINK,109.826
102,"Kiss and Make Up - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",BLACKPINK,99.771
105,PLAYING WITH FIRE,BLACKPINK,97.037
108,See U Later,BLACKPINK,106.987
110,WHISTLE,BLACKPINK,102.945
113,Shall We Dance,Block B,112.012
115,After We Ride,Brave Girls,118.928
117,We Ride,Brave Girls,110.055
119,WOW,BTOB,110.016
120,21st Century Girl,BTS,101.025
122,Am I Wrong,BTS,108.015
123,Anpanman,BTS,99.004
126,Blood Sweat & Tears,BTS,92.959
128,Boy With Luv (feat. Halsey),BTS,119.991
129,Boyz with Fun,BTS,116.024
130,Burning Up (Fire),BTS,99.93
131,Butter,BTS,109.997
132,Danger,BTS,111.992
134,Dis-ease,BTS,101.085
137,Dynamite,BTS,114.044
142,Jump,BTS,102.058
